strategy,strategy_notes,signal_month,ticker,GICS Sector,score,allocated_cash,gross_stock_return,cost_drag_per_holding,realized_stock_return
improved_8_equal_weight_top20,Improved 8: improved 4 design with equal-weight 1/N sizing at top 20. Each position targets 5 pct of current portfolio equity. Top-N expansion from 10 to 20 and switch from fixed-dollar to percent-of-equity sizing are mechanically coupled and treated as a single improvement. Stop-loss / take-profit inherited from improved 4.,2016-05-31,LII,Industrials,2.0821024244431237,50000.0,0.0453327786490509,0.0,0.0453327786490509
improved_8_equal_weight_top20,Improved 8: improved 4 design with equal-weight 1/N sizing at top 20. Each position targets 5 pct of current portfolio equity. Top-N expansion from 10 to 20 and switch from fixed-dollar to percent-of-equity sizing are mechanically coupled and treated as a single improvement. Stop-loss / take-profit inherited from improved 4.,2016-05-31,CLX,Consumer Staples,2.057346366040046,50000.0,0.075792910447614,0.0,0.075792910447614
improved_8_equal_weight_top20,Improved 8: improved 4 design with equal-weight 1/N sizing at top 20. Each position targets 5 pct of current portfolio equity. Top-N expansion from 10 to 20 and switch from fixed-dollar to percent-of-equity sizing are mechanically coupled and treated as a single improvement. Stop-loss / take-profit inherited from improved 4.,2016-05-31,KMB,Consumer Staples,1.9826065217297961,50000.0,0.0912246585897804,0.0,0.0912246585897804
improved_8_equal_weight_top20,Improved 8: improved 4 design with equal-weight 1/N sizing at top 20. Each position targets 5 pct of current portfolio equity. Top-N expansion from 10 to 20 and switch from fixed-dollar to percent-of-equity sizing are mechanically coupled and treated as a single improvement. Stop-loss / take-profit inherited from improved 4.,2016-05-31,CL,Consumer Staples,1.8066126892451186,50000.0,0.0397727272725536,0.0,0.0397727272725536
improved_8_equal_weight_top20,Improved 8: improved 4 design with equal-weight 1/N sizing at top 20. Each position targets 5 pct of current portfolio equity. Top-N expansion from 10 to 20 and switch from fixed-dollar to percent-of-equity sizing are mechanically coupled and treated as a single improvement. Stop-loss / take-profit inherited from improved 4.,2016-05-31,MO,Consumer Staples,1.3328920923822505,50000.0,0.0923508272389472,0.0,0.0923508272389472
improved_8_equal_weight_top20,Improved 8: improved 4 design with equal-weight 1/N sizing at top 20. Each position targets 5 pct of current portfolio equity. Top-N expansion from 10 to 20 and switch from fixed-dollar to percent-of-equity sizing are mechanically coupled and treated as a single improvement. Stop-loss / take-profit inherited from improved 4.,2016-05-31,SPGI,Financials,1.3043089449689804,50000.0,-0.05,0.0,-0.05
improved_8_equal_weight_top20,Improved 8: improved 4 design with equal-weight 1/N sizing at top 20. Each position targets 5 pct of current portfolio equity. Top-N expansion from 10 to 20 and switch from fixed-dollar to percent-of-equity sizing are mechanically coupled and treated as a single improvement. Stop-loss / take-profit inherited from improved 4.,2016-05-31,UPS,Industrials,1.2134034328595737,50000.0,0.0450135816830259,0.0,0.0450135816830259
improved_8_equal_weight_top20,Improved 8: improved 4 design with equal-weight 1/N sizing at top 20. Each position targets 5 pct of current portfolio equity. Top-N expansion from 10 to 20 and switch from fixed-dollar to percent-of-equity sizing are mechanically coupled and treated as a single improvement. Stop-loss / take-profit inherited from improved 4.,2016-05-31,MSI,Information Technology,1.1536305852727442,50000.0,-0.05,0.0,-0.05
improved_8_equal_weight_top20,Improved 8: improved 4 design with equal-weight 1/N sizing at top 20. Each position targets 5 pct of current portfolio equity. Top-N expansion from 10 to 20 and switch from fixed-dollar to percent-of-equity sizing are mechanically coupled and treated as a single improvement. Stop-loss / take-profit inherited from improved 4.,2016-05-31,KLAC,Information Technology,1.1241473434023006,50000.0,0.0057668543177302,0.0,0.0057668543177302
improved_8_equal_weight_top20,Improved 8: improved 4 design with equal-weight 1/N sizing at top 20. Each position targets 5 pct of current portfolio equity. Top-N expansion from 10 to 20 and switch from fixed-dollar to percent-of-equity sizing are mechanically coupled and treated as a single improvement. Stop-loss / take-profit inherited from improved 4.,2016-05-31,LMT,Industrials,1.0285110875107657,50000.0,0.0519243811464309,0.0,0.0519243811464309
improved_8_equal_weight_top20,Improved 8: improved 4 design with equal-weight 1/N sizing at top 20. Each position targets 5 pct of current portfolio equity. Top-N expansion from 10 to 20 and switch from fixed-dollar to percent-of-equity sizing are mechanically coupled and treated as a single improvement. Stop-loss / take-profit inherited from improved 4.,2016-05-31,TSN,Consumer Staples,0.9089652930226946,50000.0,-0.05,0.0,-0.05
improved_8_equal_weight_top20,Improved 8: improved 4 design with equal-weight 1/N sizing at top 20. Each position targets 5 pct of current portfolio equity. Top-N expansion from 10 to 20 and switch from fixed-dollar to percent-of-equity sizing are mechanically coupled and treated as a single improvement. Stop-loss / take-profit inherited from improved 4.,2016-05-31,POOL,Consumer Discretionary,0.8607915215342341,50000.0,0.0312568545729046,0.0,0.0312568545729046
improved_8_equal_weight_top20,Improved 8: improved 4 design with equal-weight 1/N sizing at top 20. Each position targets 5 pct of current portfolio equity. Top-N expansion from 10 to 20 and switch from fixed-dollar to percent-of-equity sizing are mechanically coupled and treated as a single improvement. Stop-loss / take-profit inherited from improved 4.,2016-05-31,HD,Consumer Discretionary,0.8479353421759377,50000.0,-0.05,0.0,-0.05
improved_8_equal_weight_top20,Improved 8: improved 4 design with equal-weight 1/N sizing at top 20. Each position targets 5 pct of current portfolio equity. Top-N expansion from 10 to 20 and switch from fixed-dollar to percent-of-equity sizing are mechanically coupled and treated as a single improvement. Stop-loss / take-profit inherited from improved 4.,2016-05-31,GPN,Financials,0.8418042119667136,50000.0,-0.05,0.0,-0.05
improved_8_equal_weight_top20,Improved 8: improved 4 design with equal-weight 1/N sizing at top 20. Each position targets 5 pct of current portfolio equity. Top-N expansion from 10 to 20 and switch from fixed-dollar to percent-of-equity sizing are mechanically coupled and treated as a single improvement. Stop-loss / take-profit inherited from improved 4.,2016-05-31,VZ,Communication Services,0.8256247068167727,50000.0,0.0977000196598176,0.0,0.0977000196598176
improved_8_equal_weight_top20,Improved 8: improved 4 design with equal-weight 1/N sizing at top 20. Each position targets 5 pct of current portfolio equity. Top-N expansion from 10 to 20 and switch from fixed-dollar to percent-of-equity sizing are mechanically coupled and treated as a single improvement. Stop-loss / take-profit inherited from improved 4.,2016-05-31,CPRT,Industrials,0.8153581072989835,50000.0,-0.05,0.0,-0.05
improved_8_equal_weight_top20,Improved 8: improved 4 design with equal-weight 1/N sizing at top 20. Each position targets 5 pct of current portfolio equity. Top-N expansion from 10 to 20 and switch from fixed-dollar to percent-of-equity sizing are mechanically coupled and treated as a single improvement. Stop-loss / take-profit inherited from improved 4.,2016-05-31,MCD,Consumer Discretionary,0.8086481011309389,50000.0,-0.0030928979728567,0.0,-0.0030928979728567
improved_8_equal_weight_top20,Improved 8: improved 4 design with equal-weight 1/N sizing at top 20. Each position targets 5 pct of current portfolio equity. Top-N expansion from 10 to 20 and switch from fixed-dollar to percent-of-equity sizing are mechanically coupled and treated as a single improvement. Stop-loss / take-profit inherited from improved 4.,2016-05-31,ULTA,Consumer Discretionary,0.795161144033902,50000.0,0.0443653821423979,0.0,0.0443653821423979
improved_8_equal_weight_top20,Improved 8: improved 4 design with equal-weight 1/N sizing at top 20. Each position targets 5 pct of current portfolio equity. Top-N expansion from 10 to 20 and switch from fixed-dollar to percent-of-equity sizing are mechanically coupled and treated as a single improvement. Stop-loss / take-profit inherited from improved 4.,2016-05-31,NVDA,Information Technology,0.7926749965350555,50000.0,0.0109677419443019,0.0,0.0109677419443019
improved_8_equal_weight_top20,Improved 8: improved 4 design with equal-weight 1/N sizing at top 20. Each position targets 5 pct of current portfolio equity. Top-N expansion from 10 to 20 and switch from fixed-dollar to percent-of-equity sizing are mechanically coupled and treated as a single improvement. Stop-loss / take-profit inherited from improved 4.,2016-05-31,EW,Health Care,0.7810876468325124,50000.0,0.0120763141850901,0.0,0.0120763141850901
improved_8_equal_weight_top20,Improved 8: improved 4 design with equal-weight 1/N sizing at top 20. Each position targets 5 pct of current portfolio equity. Top-N expansion from 10 to 20 and switch from fixed-dollar to percent-of-equity sizing are mechanically coupled and treated as a single improvement. Stop-loss / take-profit inherited from improved 4.,2016-06-30,CHTR,Communication Services,1.715673314595112,50851.130334691974,0.0270683925135559,0.0,0.0270683925135559
improved_8_equal_weight_top20,Improved 8: improved 4 design with equal-weight 1/N sizing at top 20. Each position targets 5 pct of current portfolio equity. Top-N expansion from 10 to 20 and switch from fixed-dollar to percent-of-equity sizing are mechanically coupled and treated as a single improvement. Stop-loss / take-profit inherited from improved 4.,2016-06-30,KMB,Consumer Staples,1.65131525207673,50851.130334691974,-0.05,0.0,-0.05
improved_8_equal_weight_top20,Improved 8: improved 4 design with equal-weight 1/N sizing at top 20. Each position targets 5 pct of current portfolio equity. Top-N expansion from 10 to 20 and switch from fixed-dollar to percent-of-equity sizing are mechanically coupled and treated as a single improvement. Stop-loss / take-profit inherited from improved 4.,2016-06-30,LII,Industrials,1.6461817516577175,50851.130334691974,0.1001192731359164,0.0,0.1001192731359164
improved_8_equal_weight_top20,Improved 8: improved 4 design with equal-weight 1/N sizing at top 20. Each position targets 5 pct of current portfolio equity. Top-N expansion from 10 to 20 and switch from fixed-dollar to percent-of-equity sizing are mechanically coupled and treated as a single improvement. Stop-loss / take-profit inherited from improved 4.,2016-06-30,CLX,Consumer Staples,1.6234068786440137,50851.130334691974,-0.05,0.0,-0.05
improved_8_equal_weight_top20,Improved 8: improved 4 design with equal-weight 1/N sizing at top 20. Each position targets 5 pct of current portfolio equity. Top-N expansion from 10 to 20 and switch from fixed-dollar to percent-of-equity sizing are mechanically coupled and treated as a single improvement. Stop-loss / take-profit inherited from improved 4.,2016-06-30,CL,Consumer Staples,1.3641665852237823,50851.130334691974,0.0228521003238026,0.0,0.0228521003238026
